Recipe_code,Recipe_name,Ingredient,Unit_weight_amount
R90027A,Breakfast Sausage Flatbread with Eggs,"Spice, Italian Seasoning - ""So Delizioso""",1
R90027A,Breakfast Sausage Flatbread with Eggs,Shallot,2
R90027A,Breakfast Sausage Flatbread with Eggs,"Cheese, Shredded Parmesan",1
R40084A,lemongrass pork tenderloin,"Pork, Tenderloin",12
R40084A,lemongrass pork tenderloin,"Lemongrass Stalk, 7in",1
R40084A,lemongrass pork tenderloin,"Garlic, Peeled",2
R40084A,lemongrass pork tenderloin,Lime,1
R40084A,lemongrass pork tenderloin,Soy Sauce,1
R40084A,lemongrass pork tenderloin,"Stock Concentrate, Veggie",9.6
R40084A,lemongrass pork tenderloin,"Rice, Jasmine",0.75
R40084A,lemongrass pork tenderloin,Snow Peas,4
R40084A,lemongrass pork tenderloin,"Sesame Seeds, White",1
R66668A,,,
R25097A,,,
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,Shrimp,10
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,"Pasta, Penne",6
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,"Cheese, Shredded Parmesan",1
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,"Butter, Roasted Garlic Herb",1
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,"Squash, Zucchini",8
R30903A,Pasta with Spicy Shrimp and Garlic Herb Butter,"Pepper, Thai Bird's Eye Chili",1
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Garlic, Peeled",2
R20167A,Ranch Steak With Creamy Peppercorn Sauce,Scallions,2
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Bread, Ciabatta",1
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Peppercorns, Black",1
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Steak, Ranch",10
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Stock Concentrate, Beef",12
R20167A,Ranch Steak With Creamy Peppercorn Sauce,Dijon Mustard Packet,10
R20167A,Ranch Steak With Creamy Peppercorn Sauce,Sour Cream,1
R20167A,Ranch Steak With Creamy Peppercorn Sauce,"Broccoli, Florets",8
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Rice, Arborio",0.75
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Thyme, Fresh",0.25
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Pork, Pancetta",4
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Cheese, Shredded Parmesan",1
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Tomato, Grape",4
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM",Corn Kernels,13.4
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Onion, Yellow",1
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Garlic, Peeled",2
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM",Lemon,1
R45078,"Oven-Baked Corn & Tomato Risotto with Pancetta, Thyme, and Parmesan NOT FOR FAM","Paprika, Smoked",1
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,"Sugar, Brown",1
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,"Paprika, Smoked",1
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,"Salmon, Skin-On",10
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,Sunflower Seeds,1
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,Lemon,1
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,Dijon Mustard Packet,5
R35168A,Smoky Brown Sugar Salmon with Sweet Potatoes and Sunflower Seed Salad,"Lettuce, Spring Mix",2
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Bread, Flatbread",2
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Sausage, Raw Lean Sweet Italian Pork",9
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Tomato, Crushed",13.76
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Lettuce, Spring Mix",2
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Vinegar, White Wine",25
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Pepper, Jalapeno",1
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad",Shallot,2
R45113A,"Sausage Flatbreads with Pickled Jalapeno, Shallot, and Salad","Spice, Italian Seasoning - ""So Delizioso""",1
R60166B,Bell Pepper and Black Bean Quesadillas,"Tortillas, 10-inch Flour",2
R60166B,Bell Pepper and Black Bean Quesadillas,"Onion, Yellow",1
R60166B,Bell Pepper and Black Bean Quesadillas,"Garlic, Peeled",2
R60166B,Bell Pepper and Black Bean Quesadillas,"Beans, Black",13.4
R60166B,Bell Pepper and Black Bean Quesadillas,"Lettuce, Arugula",2
R60166B,Bell Pepper and Black Bean Quesadillas,"Bell Pepper, Red/Orange/Yellow - Hot House Grown",1
R60166B,Bell Pepper and Black Bean Quesadillas,"Tomato, Heirloom Grape",4
R60166B,Bell Pepper and Black Bean Quesadillas,Lime,1
R60166B,Bell Pepper and Black Bean Quesadillas,Sour Cream,1
R60166B,Bell Pepper and Black Bean Quesadillas,Honey .5oz,0.5
R60166B,Bell Pepper and Black Bean Quesadillas,Mexican Spice Blend,1
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Sausage, Raw Ground Lean Sweet Italian Pork",9
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Bread, Ciabatta",1
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Onion, Red",1
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Garlic, Peeled",2
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Kale, Chopped",8
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Tomato, Diced",14
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Beans, Cannellini",13.4
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Cheese, Shredded Parmesan",1
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY",Chili Flakes,1
R45057,"Tuscan Ribollita with Kale, Italian Sausage, and Parmesan Croutons CLASSIC ONLY","Stock Concentrate, Chicken",9.6
R10258A,,,
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Potato, Yukon B",16
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Potato, Sweet 6oz",1
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter",Shallot,2
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter",Parsley,0.25
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Tomato, Heirloom Grape",4
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Bell Pepper, Mini",6
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Steak, Sirloin",12
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Demi Glace, Beef",1
R20154A,"Steak Sheet Bake - Potatoes, Mini Bell Peppers, Orange Parsley Butter","Butter, Roasted Garlic Herb",1
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Pasta, Linguine",6
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Eggplant, Italian - 24-30 ct",1
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Garlic, Peeled",2
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Onion, Yellow",1
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Tomato, Sun-Dried",1.5
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,Chili Flakes,1
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,Parsley,0.25
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R60088,Roasted Eggplant Linguine with Sun-Dried Tomato and Chili,"Tomato, Diced",14
R60456B,Squash Flatbread with Fresh Mozzarella,"Squash, Yellow",8
R60456B,Squash Flatbread with Fresh Mozzarella,Pine Nuts,1
R60456B,Squash Flatbread with Fresh Mozzarella,"Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R60456B,Squash Flatbread with Fresh Mozzarella,Scallions,2
R60456B,Squash Flatbread with Fresh Mozzarella,"Bread, Flatbread",2
R60456B,Squash Flatbread with Fresh Mozzarella,"Herb, Basil",0.5
R60456B,Squash Flatbread with Fresh Mozzarella,"Lettuce, Spring Mix",2
R60456B,Squash Flatbread with Fresh Mozzarella,Lemon,1
R60456B,Squash Flatbread with Fresh Mozzarella,"Tomato, Grape",4
R60456B,Squash Flatbread with Fresh Mozzarella,Honey .5oz,0.5
R60456B,Squash Flatbread with Fresh Mozzarella,Chili Flakes,1
R15110A,1 Pan Chicken Sausage Orzotto,"Squash, Zucchini",8
R15110A,1 Pan Chicken Sausage Orzotto,Scallions,2
R15110A,1 Pan Chicken Sausage Orzotto,"Sausage Mix, Raw Sweet Italian Chicken",9
R15110A,1 Pan Chicken Sausage Orzotto,"Spice, Italian Seasoning - ""So Delizioso""",1
R15110A,1 Pan Chicken Sausage Orzotto,"Pasta, Orzo",6
R15110A,1 Pan Chicken Sausage Orzotto,"Stock Concentrate, Chicken",9.6
R15110A,1 Pan Chicken Sausage Orzotto,"Tomato, Crushed",13.76
R15110A,1 Pan Chicken Sausage Orzotto,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R15148B,Bulgogi Tacos,"Cucumber, Persian",1
R15148B,Bulgogi Tacos,Scallions,2
R15148B,Bulgogi Tacos,"Vinegar, White Wine",25
R15148B,Bulgogi Tacos,"Chicken, Stir Fry",10
R15148B,Bulgogi Tacos,"Cabbage, Shredded Red",4
R15148B,Bulgogi Tacos,"Sauce, Bulgogi Sauce - Private Label",4
R15148B,Bulgogi Tacos,Sour Cream,1
R15148B,Bulgogi Tacos,Sriracha Sauce,1
R15148B,Bulgogi Tacos,"Tortillas, 6-inch Flour",6
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Pasta, Lobster Ravioli",9
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Tomato, Heirloom Grape 10oz",10
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,Shrimp,10
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,Tarragon,0.25
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Garlic, Peeled",2
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,"Pork, Tenderloin",12
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,Green Beans,6
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,Lemon,1
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,Parsley,0.25
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,Applesauce Spice Blend,1
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,"Potato, White C",12
R40078B,Seared Pork Tenderloin with Homemade Applesauce and green beans,"Rosemary, Dried",1
R60288,Roasted Vegetable Quesadillas,"Tortillas, 6-inch Flour",6
R60288,Roasted Vegetable Quesadillas,"Squash, Zucchini",8
R60288,Roasted Vegetable Quesadillas,Lime,1
R60288,Roasted Vegetable Quesadillas,"Lettuce, Arugula",2
R60288,Roasted Vegetable Quesadillas,Mayonnaise,1
R60288,Roasted Vegetable Quesadillas,"Oregano, Dried",1
R60288,Roasted Vegetable Quesadillas,"Bell Pepper, Red/Orange/Yellow - Hot House Grown",1
R60288,Roasted Vegetable Quesadillas,"Tomato, Roma",1
R60288,Roasted Vegetable Quesadillas,Cilantro,0.25
R60288,Roasted Vegetable Quesadillas,"Onion, Red",1
R60288,Roasted Vegetable Quesadillas,Chipotle Powder,1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Tortillas, 10-inch Flour",2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Chicken, Stir Fry",10
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Tomato Paste,6
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Cheese, Shredded Mexican Cheese Blend",2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Pepper, Poblano",1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Enchilada Spice Blend,1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Scallions,2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Spice, Southwest Spice - ""Warm n' Smoky""",1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Onion, Yellow",1
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Mint, Fresh",0.25
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Garlic, Peeled",2
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Pasta, Penne",6
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Stock Concentrate, Veggie",9.6
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,Pine Nuts,1
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Pork, Pancetta",4
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Peas, Fresh and Frozen - 4 Ounce (oz)",4
R45060,UK Super Quick Creamy Pasta with Peas and Pancetta,"Cheese, Shredded Parmesan",1
R45178A,Pineapple BBQ Pizza,"Pork, Ground",10
R45178A,Pineapple BBQ Pizza,Sweet and Smoky BBQ Seasoning,1
R45178A,Pineapple BBQ Pizza,"Pineapple, In-Juice",4
R45178A,Pineapple BBQ Pizza,"Tomato, Roma",1
R45178A,Pineapple BBQ Pizza,"Pepper, Jalapeno",1
R45178A,Pineapple BBQ Pizza,Shallot,2
R45178A,Pineapple BBQ Pizza,"Vinegar, White Wine",25
R45178A,Pineapple BBQ Pizza,"Bread, Flatbread",2
R45178A,Pineapple BBQ Pizza,"Cheese, Shredded Italian Blend",2
R45178A,Pineapple BBQ Pizza,Classic BBQ Sauce,2
R10139,UK Pesto Roulades with Roasted Potatoes,"Potato, Yukon B",12
R10139,UK Pesto Roulades with Roasted Potatoes,"Breadcrumbs, Panko",0.5
R10139,UK Pesto Roulades with Roasted Potatoes,"Chicken, Breasts",12
R10139,UK Pesto Roulades with Roasted Potatoes,"Pesto, Fresh 2oz",2
R10139,UK Pesto Roulades with Roasted Potatoes,"Lettuce, Spring Mix",2
R10139,UK Pesto Roulades with Roasted Potatoes,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R10139,UK Pesto Roulades with Roasted Potatoes,Lemon,1
R20164A,Mediterranean Gyro bowl,Bulgur Wheat,0.5
R20164A,Mediterranean Gyro bowl,"Squash, Zucchini",8
R20164A,Mediterranean Gyro bowl,"Tomato, Roma",1
R20164A,Mediterranean Gyro bowl,Lemon,1
R20164A,Mediterranean Gyro bowl,"Garlic, Peeled",2
R20164A,Mediterranean Gyro bowl,"Steak, Minute",10
R20164A,Mediterranean Gyro bowl,Mediterranean Spice Blend,1
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,"Pasta, Linguine",6
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,"Mushrooms, Button",4
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,Lemon,1
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,"Garlic, Peeled",2
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,"Onion, Red",1
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,Tarragon,0.25
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,Sour Cream,1
R60080,Creamy Linguine with Wild Mushrooms and Tarragon,"Cheese, Shredded Parmesan",1
R35101,UK Herby Sea Bass with Salsa Verde,Sole,12
R35101,UK Herby Sea Bass with Salsa Verde,"Potato, Yukon B",12
R35101,UK Herby Sea Bass with Salsa Verde,"Garlic, Peeled",2
R35101,UK Herby Sea Bass with Salsa Verde,"Olives, Green",1
R35101,UK Herby Sea Bass with Salsa Verde,Parsley,0.25
R35101,UK Herby Sea Bass with Salsa Verde,Lemon,1
R35101,UK Herby Sea Bass with Salsa Verde,Green Beans,6
R35101,UK Herby Sea Bass with Salsa Verde,"Paprika, Smoked",1
R25089,Cheddar Frico Burger,"Beef, Ground",10
R25089,Cheddar Frico Burger,"Cheese, Shredded Cheddar",2
R25089,Cheddar Frico Burger,"Onion, Red",1
R25089,Cheddar Frico Burger,"Tomato, Roma",1
R25089,Cheddar Frico Burger,"Vinegar, Sherry",25
R25089,Cheddar Frico Burger,"Bread, Brioche Buns",2
R25089,Cheddar Frico Burger,"Broccoli, Florets",8
R25089,Cheddar Frico Burger,Ketchup,1
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Steak, Tri-Tip",12
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Tomato, Heirloom Grape",4
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,Cucumber Select,1
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Onion, Red",1
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Potato, Yukon B",12
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,Chives,0.25
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Vinegar, White Wine",25
R20019,Seared Steak with Dijon Tomato Salad and Marble Potatoes,"Mustard, Dijon, Mini Glass Bottles",1.4
R40116A,,,
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,"Potato, Yukon B",12
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,Parsley,0.25
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,"Garlic, Peeled",2
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,"Tomato, Heirloom Grape 10oz",10
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,Lemon,1
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,"Cauliflower, Florets 10oz",10
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,Pine Nuts,1
R80019A,NY Strip with Cauli Mash and Heirloom Tomatoes,"Steak, NY Strip - Upper 2/3 Choice",12
R25114A,Cheesy meatball bake,"Beef, Ground",10
R25114A,Cheesy meatball bake,"Cheese, Ricotta",4
R25114A,Cheesy meatball bake,"Breadcrumbs, Panko",0.5
R25114A,Cheesy meatball bake,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R25114A,Cheesy meatball bake,Meatloaf Mix Blend,1
R25114A,Cheesy meatball bake,"Pasta, Spaghetti",6
R25114A,Cheesy meatball bake,"Onion, Yellow",1
R25114A,Cheesy meatball bake,"Tomato, Crushed",13.76
R25114A,Cheesy meatball bake,Lemon,1
R25114A,Cheesy meatball bake,"Lettuce, Spring Mix",4
R25114A,Cheesy meatball bake,"Spice, Italian Seasoning - ""So Delizioso""",1
R10255A,,,
R10133,AU Zucchini and Parmesan Topped Chicken,"Squash, Zucchini",8
R10133,AU Zucchini and Parmesan Topped Chicken,"Chicken, Breasts",12
R10133,AU Zucchini and Parmesan Topped Chicken,"Cheese, Shredded Parmesan",1
R10133,AU Zucchini and Parmesan Topped Chicken,"Potato, Yukon B",12
R10133,AU Zucchini and Parmesan Topped Chicken,Green Beans,6
R10133,AU Zucchini and Parmesan Topped Chicken,Lemon,1
R10133,AU Zucchini and Parmesan Topped Chicken,Milk - Private Label,6.75
R15165A,,,
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Tortillas, 10-inch Flour",2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Chicken, Stir Fry",10
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Tomato Paste,6
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Cheese, Shredded Mexican Cheese Blend",2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Pepper, Poblano",1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Enchilada Spice Blend,1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream",Scallions,2
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Spice, Southwest Spice - ""Warm n' Smoky""",1
R15174A,"Smothered Chicken Enchiladas With Poblano Pepper, Onion, And Sour Cream","Onion, Yellow",1
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Beef, Ground",10
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Lettuce, Spring Mix",2
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)",Tomato Paste,6
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Vinegar, Balsamic",25
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Onion, Red",1
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Garlic, Peeled",2
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Cranberries, Dried",1
R20068,"Italian Ciabatta Burgers with Caramelized Onion, Mozzarella, and Sweet-and-Tangy Arugula Salad (f)","Tomato, Heirloom Grape",4
R25099A,Meatloaf with Chive Mashed Potato,"Bread, Sliced White",1
R25099A,Meatloaf with Chive Mashed Potato,Milk - Private Label,6.75
R25099A,Meatloaf with Chive Mashed Potato,"Beef, Ground",10
R25099A,Meatloaf with Chive Mashed Potato,Meatloaf Mix Blend,1
R25099A,Meatloaf with Chive Mashed Potato,Ketchup,1
R25099A,Meatloaf with Chive Mashed Potato,"Potato, Yukon B",16
R25099A,Meatloaf with Chive Mashed Potato,Green Beans,6
R25099A,Meatloaf with Chive Mashed Potato,Shallot,2
R25099A,Meatloaf with Chive Mashed Potato,Chives,0.25
R25099A,Meatloaf with Chive Mashed Potato,"Stock Concentrate, Chicken",9.6
R20080,UK Black Sesame Teriyaki Beef,"Rice, Jasmine",0.5
R20080,UK Black Sesame Teriyaki Beef,"Garlic, Peeled",2
R20080,UK Black Sesame Teriyaki Beef,Ginger,1
R20080,UK Black Sesame Teriyaki Beef,Scallions,2
R20080,UK Black Sesame Teriyaki Beef,"Sauce, Hoisin",1
R20080,UK Black Sesame Teriyaki Beef,Soy Sauce,1
R20080,UK Black Sesame Teriyaki Beef,"Sesame Seeds, White",1
R20080,UK Black Sesame Teriyaki Beef,Beef Stir Fry,10
R60266,Spring Tortellini Gratin,"Cheese, Shredded Parmesan",1
